date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:23	76/76	---MCZ	200	added ('OK')	text/plain	date:Fri,%2030%20May%202025%2009:10:23%20GMT	https://pabanal.fr/robots.txt		(from )
11:10:23	134897/134897	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20May%202025%2009:10:24%20GMT	https://pabanal.fr/	C:/Mes%20Sites%20Web/pabanal/pabanal.fr/index.html	(from )
11:10:24	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2030%20May%202025%2009:10:24%20GMT	https://pabanal.fr/xmlrpc.php	C:/Mes%20Sites%20Web/pabanal/pabanal.fr/xmlrpc.php	(from https://pabanal.fr/)
11:10:24	116363/116363	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20May%202025%2008:48:13%20GMT	https://pabanal.fr/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1	C:/Mes%20Sites%20Web/pabanal/pabanal.fr/wp-includes/css/dist/block-library/style.min0899.css	(from https://pabanal.fr/)
11:10:24	26109/26109	---M-Z	200	added ('OK')	text/css	date:Wed,%2005%20Aug%202020%2013:40:01%20GMT	https://pabanal.fr/wp-content/themes/toivo-lite/fonts/genericons/genericons/genericons.min.css?ver=3.3	C:/Mes%20Sites%20Web/pabanal/pabanal.fr/wp-content/themes/toivo-lite/fonts/genericons/genericons/genericons.min6de8.css	(from https://pabanal.fr/)
11:10:24	73816/73816	---M-Z	200	added ('OK')	text/css	date:Sun,%2020%20Sep%202020%2014:41:01%20GMT	https://pabanal.fr/wp-content/themes/toivo-lite/style.css?ver=1.2.0	C:/Mes%20Sites%20Web/pabanal/pabanal.fr/wp-content/themes/toivo-lite/style7359.css	(from https://pabanal.fr/)
11:10:24	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2030%20May%202025%2008:48:07%20GMT	https://pabanal.fr/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Mes%20Sites%20Web/pabanal/pabanal.fr/wp-includes/js/jquery/jquery.minf43b.js	(from https://pabanal.fr/)
11:10:25	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2030%20May%202025%2008:48:07%20GMT	https://pabanal.fr/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Mes%20Sites%20Web/pabanal/pabanal.fr/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://pabanal.fr/)
11:10:25	13125/13125	---MC-	200	added ('OK')	application/rss+xml	etag:%228d3af9f001409ef2751181198a128fcb%22	https://pabanal.fr/feed/	C:/Mes%20Sites%20Web/pabanal/pabanal.fr/feed/index.html	(from https://pabanal.fr/)
11:10:25	774/774	---MCZ	200	added ('OK')	text/xml	date:Fri,%2030%20May%202025%2009:10:25%20GMT	https://pabanal.fr/xmlrpc.php?rsd	C:/Mes%20Sites%20Web/pabanal/pabanal.fr/xmlrpc0db0.php	(from https://pabanal.fr/)
11:10:26	274/274	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2030%20May%202025%2009:10:26%20GMT	http://pabanal.fr/wp-content/uploads/custom-css-js/319.css?v=9224	C:/Mes%20Sites%20Web/pabanal/pabanal.fr/wp-content/uploads/custom-css-js/319.7825c.delayed	(from https://pabanal.fr/)
11:10:26	753/753	---MC-	200	added ('OK')	application/rss+xml	etag:%228d3af9f001409ef2751181198a128fcb%22	https://pabanal.fr/comments/feed/	C:/Mes%20Sites%20Web/pabanal/pabanal.fr/comments/feed/index.html	(from https://pabanal.fr/)
11:10:26	424/424	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202020%2023:38:29%20GMT	https://pabanal.fr/wp-content/uploads/custom-css-js/319.css?v=9224	C:/Mes%20Sites%20Web/pabanal/pabanal.fr/wp-content/uploads/custom-css-js/319825c.css	(from https://pabanal.fr/)
11:10:26	273/273	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2030%20May%202025%2009:10:26%20GMT	http://pabanal.fr/wp-content/uploads/custom-css-js/75.css?v=3665	C:/Mes%20Sites%20Web/pabanal/pabanal.fr/wp-content/uploads/custom-css-js/75.948bb.delayed	(from https://pabanal.fr/)
11:10:26	5305/5305	---M-Z	200	added ('OK')	text/css	date:Sat,%2005%20Dec%202020%2017:34:12%20GMT	https://pabanal.fr/wp-content/uploads/custom-css-js/75.css?v=3665	C:/Mes%20Sites%20Web/pabanal/pabanal.fr/wp-content/uploads/custom-css-js/7548bb.css	(from https://pabanal.fr/)
11:10:27	273/273	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2030%20May%202025%2009:10:27%20GMT	http://pabanal.fr/wp-content/uploads/custom-css-js/318.js?v=3028	C:/Mes%20Sites%20Web/pabanal/pabanal.fr/wp-content/uploads/custom-css-js/318.b4808.delayed	(from https://pabanal.fr/)
